# "T","u","v","w","p","k","mu","vel_penalty_:0","vel_penalty_:1","vel_penalty_:2","vel_source_:0","vel_source_:1","vel_source_:2","Points:0","Points:1","Points:2"
317.34,-0.1853,0.28613,-0.76198,-5.5125,13.12,0.00923,0,0,0,0,0,0,-0.20771,0,2.5
316.94,-0.11644,0.17895,-0.8654,-5.5488,13.12,0.00923,0,0,0,0,0,0,-0.12,0,2.5
316.87,-0.077742,0.10836,-0.89126,-5.5593,13.12,0.00923,0,0,0,0,0,0,-0.087711,0,2.5
320.44,0.18923,-0.55597,0.038521,-4.9367,13.12,0.00923,0,0,0,0,0,0,0.75229,0,2.5
321.56,0.16994,-0.50052,0.46833,-4.8828,13.12,0.00923,0,0,0,0,0,0,0.84,0,2.5
322.17,0.17139,-0.5578,0.79524,-4.8481,13.12,0.00923,0,0,0,0,0,0,0.87229,0,2.5
323.99,0.31773,-0.85708,1.879,-4.7591,13.12,0.00923,0,0,0,0,0,0,0.96,0,2.5
323.81,0.33606,-0.99447,2.1933,-4.6554,13.12,0.00923,0,0,0,0,0,0,0.99229,0,2.5
322.41,0.41064,-1.3627,2.8974,-4.3355,13.12,0.00923,0,0,0,0,0,0,1.08,0,2.5
321.43,0.39885,-1.4388,2.8927,-4.1646,13.12,0.00923,0,0,0,0,0,0,1.1123,0,2.5
318.52,0.33348,-1.5898,2.7211,-3.7228,13.12,0.00923,0,0,0,0,0,0,1.2,0,2.5
317.74,0.31017,-1.617,2.5242,-3.5817,13.12,0.00923,0,0,0,0,0,0,1.2323,0,2.5
315.93,0.2096,-1.6482,1.9604,-3.2304,13.12,0.00923,0,0,0,0,0,0,1.32,0,2.5
315.58,0.18878,-1.5054,1.7687,-3.1427,13.12,0.00923,0,0,0,0,0,0,1.3523,0,2.5
314.87,0.11979,-1.1598,1.2856,-2.9154,13.12,0.00923,0,0,0,0,0,0,1.44,0,2.5
314.76,0.089325,-0.86868,1.1485,-2.9415,13.12,0.00923,6.2918,-4.1442,0,0,0,0,1.4723,0,2.5
314.54,-0.0083175,-0.04073,0.83278,-3.055,13.12,0.00923,23.383,-15.402,0,0,0,0,1.56,0,2.5
314.52,0.0062497,-0.02696,0.75212,-3.0591,13.12,0.00923,22.247,-16.751,0,0,0,0,1.5923,0,2.5
314.48,0.036564,0.043507,0.54903,-3.0988,13.12,0.00923,19.16,-20.418,0,0,0,0,1.68,0,2.5
314.48,0.034494,0.041167,0.49343,-3.094,13.12,0.00923,18.209,-21.176,0,0,0,0,1.7123,0,2.5
314.46,0.014021,0.016872,0.32801,-3.0759,13.12,0.00923,15.625,-23.235,0,0,0,0,1.8,0,2.5
314.45,0.0086197,0.012511,0.29211,-3.0761,13.12,0.00923,14.77,-23.732,0,0,0,0,1.8323,0,2.5
314.41,-0.012901,-0.0058671,0.18998,-3.077,13.12,0.00923,12.447,-25.081,0,0,0,0,1.92,0,2.5
314.39,-0.020018,-0.0083057,0.17459,-3.0775,13.12,0.00923,11.661,-25.417,0,0,0,0,1.9523,0,2.5
314.33,-0.044372,-0.017566,0.13682,-3.0787,13.12,0.00923,9.5244,-26.33,0,0,0,0,2.04,0,2.5
314.31,-0.05017,-0.017948,0.13185,-3.0796,13.12,0.00923,8.7932,-26.554,0,0,0,0,2.0723,0,2.5
314.26,-0.069573,-0.019891,0.12435,-3.0817,13.12,0.00923,6.8069,-27.16,0,0,0,0,2.16,0,2.5
314.24,-0.073825,-0.018797,0.12213,-3.0827,13.12,0.00923,6.123,-27.298,0,0,0,0,2.1923,0,2.5
314.2,-0.088309,-0.016126,0.12101,-3.085,13.12,0.00923,4.2652,-27.673,0,0,0,0,2.28,0,2.5
314.19,-0.091004,-0.014014,0.12028,-3.0858,13.12,0.00923,3.6232,-27.744,0,0,0,0,2.3123,0,2.5
